Ser,Locations,Temperature,,,,
129,Khor fasht,32.03,,,,
130,Marina Club,31.80,,,,
131,Marwada,32.09,,,,
132,Al Jasra,31.98,,,,
133,Jazirat Ya’suf,31.24,,,,
134,Qassar,31.90,,,,
135,Umm Al na'asan,30.99,,,,
136,Al Gaha,29.61,,,,
137,Al Gazara,29.55,,,,
138,Dam,29.60,,,,
139,Fa'ash,29.57,,,,
140,Marina Club,29.52,,,,
141,Qita’at Jaradah,29.46,,,,
142,Suhain,29.69,,,,
143,Askar,30.32,,,,
144,Bapco,30.19,,,,
145,Fasht Tighalib,29.39,,,,
146,Ghumais,29.88,,,,
147,Jabbari,29.21,,,,
148,Mashtan,29.29,,,,
149,Msoor,30.11,,,,
150,Qassar Noon,29.56,,,,
151,Al Jarim,29.17,,,,
152,Bartafi,29.22,,,,
153,Khor fasht,29.23,,,,
154,Marwada,29.32,,,,
155,Al Jasra,28.53,,,,
156,Jazirat Ya’suf,29.16,,,,
157,Qassar,29.27,,,,
158,Umm Al na'asan,29.29,,,,
159,Al Gaha,16.23,,,,
160,Al Gazara,16.55,,,,
161,Dam,16.44,,,,
162,Fa'ash,16.79,,,,
163,Marina Club,15.87,,,,
164,Qita’at Jaradah,16.35,,,,
165,Suhain,16.47,,,,
166,Askar,16.15,,,,
167,Bapco,16.72,,,,
168,Fasht Tighalib,15.72,,,,
169,Ghumais,15.84,,,,
170,Jabbari,15.64,,,,
171,Mashtan,15.62,,,,
172,Msoor,16.14,,,,
173,Qassar Noon,15.58,,,,
174,Al Jarim,16.34,,,,
175,Bartafi,15.13,,,,
176,Khor fasht,15.29,,,,
177,Marwada,15.31,,,,
178,Al Jasra,17.03,,,,
179,Jazirat Ya’suf,16.75,,,,
180,Qassar,16.40,,,,
181,Umm Al na'asan,16.12,,,,
182,Al Jarim,23.60,,,,
183,Bartafi,24.00,,,,
184,Khor fasht,23.74,,,,
185,Marina Club,24.25,,,,
186,Marwada,23.81,,,,
187,Al Gaha,25.41,,,,
188,Al Gazara,24.21,,,,
189,Dam,24.15,,,,
190,Fa'ash,24.53,,,,
191,Qita’at Jaradah,24.28,,,,
192,Suhain,24.63,,,,
193,Al Jasra,24.08,,,,
194,Jazirat Ya’suf,23.80,,,,
195,Qassar,23.70,,,,
196,Umm Al na'asan,23.21,,,,
197,Askar,24.40,,,,
198,Bapco,24.41,,,,
199,Fasht Tighalib,24.03,,,,
200,Ghumais,24.09,,,,
201,Jabbari,24.32,,,,
202,Mashtan,24.00,,,,
203,Msoor,23.82,,,,
204,Qassar Noon,24.01,,,,
205,Askar,31.38,,,,
206,Bapco,32.05,,,,
207,Fasht Tighalib,32.32,,,,
208,Ghumais,32.36,,,,
209,Jabbari,32.16,,,,
210,Mashtan,32.64,,,,
211,Msoor,31.93,,,,
212,Qassar Noon,32.34,,,,
214,Al Gazara,32.44,,,,
215,Dam,32.44,,,,
216,Fa'ash,32.31,,,,
217,Qita’at Jaradah,32.33,,,,
218,Suhain,32.00,,,,
219,Al Jarim,31.74,,,,
220,Bartafi,32.32,,,,
221,Khor fasht,31.98,,,,
222,Marina Club,31.83,,,,
223,Marwada,32.13,,,,
224,Al Jasra,32.01,,,,
225,Jazirat Ya’suf,32.17,,,,
226,Qassar,32.05,,,,
227,Umm Al na'asan,31.72,,,,
228,Al Gaha,30.13,,,,
229,Al Gazara,30.20,,,,
230,Dam,30.01,,,,
231,Fa'ash,30.09,,,,
232,Marina Club,30.21,,,,
233,Qita’at Jaradah,30.04,,,,
234,Suhain,30.03,,,,
235,Al Jarim,29.59,,,,
236,Bartafi,29.66,,,,
237,Khor fasht,29.60,,,,
238,Marwada,29.78,,,,
239,Al Jasra,29.24,,,,
240,Jazirat Ya’suf,29.58,,,,
241,Qassar,29.70,,,,
242,Umm Al na'asan,29.77,,,,
243,Askar,29.19,,,,
244,Bapco,30.24,,,,
245,Fasht Tighalib,29.60,,,,
246,Ghumais,29.55,,,,
247,Jabbari,29.70,,,,
248,Mashtan,29.70,,,,
249,Msoor,29.44,,,,
250,Qassar Noon,29.90,,,,
251,Askar,19.15,,,,
252,Bapco,19.69,,,,
253,Fasht Tighalib,18.94,,,,
254,Ghumais,18.59,,,,
255,Jabbari,18.79,,,,
256,Mashtan,18.97,,,,
257,Msoor,19.67,,,,
258,Qassar Noon,18.76,,,,
259,Al Gaha,18.90,,,,
260,Al Gazara,19.82,,,,
261,Dam,18.98,,,,
262,Fa'ash,18.88,,,,
263,Qita’at Jaradah,18.95,,,,
264,Suhain,18.93,,,,
265,Al Jarim,19.37,,,,
266,Bartafi,18.85,,,,
267,Khor fasht,19.02,,,,
268,Marina Club,19.03,,,,
269,Marwada,18.87,,,,
274,Askar,26.56,,,,
275,Bapco,26.70,,,,
276,Fasht Tighalib,26.62,,,,
277,Ghumais,26.15,,,,
278,Jabbari,26.32,,,,
279,Mashtan,26.72,,,,
280,Msoor,26.62,,,,
281,Qassar Noon,26.44,,,,
282,Al Gaha,26.29,,,,
283,Al Gazara,25.27,,,,
284,Dam,25.76,,,,
285,Fa'ash,25.55,,,,
286,Qita’at Jaradah,26.06,,,,
287,Suhain,25.74,,,,
288,Al Jarim,25.59,,,,
289,Khor fasht,26.01,,,,
290,Marina Club,25.82,,,,
291,Marwada,26.09,,,,
292,Al Jasra,26.45,,,,
293,Bartafi,26.30,,,,
294,Jazirat Ya’suf,25.46,,,,
295,Qassar,25.55,,,,
296,Umm Al na'asan,25.16,,,,
297,Al Jarim,31.64,,,,
298,Khor fasht,31.36,,,,
299,Marwada,31.40,,,,
300,Al Jasra,32.06,,,,
301,Bartafi,31.53,,,,
302,Jazirat Ya’suf,31.33,,,,
303,Marina Club,31.57,,,,
304,Qassar,31.54,,,,
305,Umm Al na'asan,31.20,,,,
306,Askar,30.98,,,,
307,Bapco,31.97,,,,
308,Fasht Tighalib,31.41,,,,
309,Ghumais,31.61,,,,
310,Jabbari,31.24,,,,
311,Mashtan,31.88,,,,
312,Msoor,31.56,,,,
313,Qassar Noon,31.72,,,,
314,Al Gaha,32.64,,,,
315,Al Gazara,32.32,,,,
316,Dam,32.07,,,,
317,Fa'ash,32.23,,,,
318,Qita’at Jaradah,32.18,,,,
319,Suhain,32.56,,,,
320,Askar,31.58,,,,
321,Bapco,31.77,,,,
322,Fasht Tighalib,31.52,,,,
323,Ghumais,31.45,,,,
324,Jabbari,31.62,,,,
325,Mashtan,31.43,,,,
326,Msoor,31.22,,,,
327,Qassar Noon,31.45,,,,
328,Al Gaha,32.34,,,,
329,Al Gazara,32.04,,,,
330,Dam,32.08,,,,
331,Fa'ash,32.16,,,,
332,Qita’at Jaradah,31.99,,,,
333,Suhain,32.33,,,,
334,Al Jarim,31.95,,,,
335,Khor fasht,32.08,,,,
336,Marina Club,31.85,,,,
337,Marwada,31.89,,,,
338,Al Jasra,29.55,,,,
339,Bartafi,29.00,,,,
340,Jazirat Ya’suf,29.26,,,,
341,Qassar,30.45,,,,
342,Umm Al na'asan,30.76,,,,
343,Al Jarim,17.06,,,,
344,Bartafi,16.93,,,,
345,Khor fasht,17.30,,,,
346,Marina Club,17.32,,,,
347,Marwada,17.30,,,,
348,Al Jasra,15.80,,,,
349,Jazirat Ya’suf,16.68,,,,
350,Qassar,17.77,,,,
351,Umm Al na'asan,17.67,,,,
352,Al Gaha,17.70,,,,
353,Askar,17.86,,,,
354,Bapco,17.76,,,,
355,Fasht Tighalib,17.44,,,,
356,Ghumais,17.33,,,,
357,Jabbari,17.15,,,,
358,Mashtan,17.20,,,,
359,Msoor,17.42,,,,
360,Qassar Noon,17.39,,,,
361,Al Gazara,18.14,,,,
362,Dam,18.06,,,,
363,Fa'ash,18.05,,,,
364,Qita’at Jaradah,18.06,,,,
365,Suhain,18.00,,,,
366,Al Gaha,25.66,,,,
367,Askar,26.03,,,,
368,Bapco,26.12,,,,
369,Fasht Tighalib,25.26,,,,
370,Ghumais,25.40,,,,
371,Jabbari,24.97,,,,
372,Mashtan,25.40,,,,
373,Msoor,26.42,,,,
374,Qassar Noon,24.50,,,,
375,Al Gazara,24.91,,,,
376,Dam,24.80,,,,
377,Fa'ash,24.70,,,,
378,Qita’at Jaradah,25.52,,,,
379,Suhain,25.10,,,,
380,Al Jarim,25.21,,,,
381,Bartafi,25.85,,,,
382,Khor fasht,25.37,,,,
383,Marina Club,26.21,,,,
384,Marwada,25.44,,,,
385,Al Jasra,27.17,,,,
386,Jazirat Ya’suf,25.75,,,,
387,Qassar,25.48,,,,
388,Umm Al na'asan,25.32,,,,
389,Al Gaha,32.26,,,,
390,Askar,32.11,,,,
391,Bapco,32.17,,,,
392,Fasht Tighalib,31.81,,,,
393,Ghumais,31.51,,,,
394,Jabbari,31.69,,,,
395,Mashtan,32.65,,,,
396,Msoor,31.90,,,,
397,Qassar Noon,32.61,,,,
398,Al Gazara,31.99,,,,
399,Dam,31.93,,,,
400,Fa'ash,31.95,,,,
401,Marina Club,32.26,,,,
402,Qita’at Jaradah,32.92,,,,
403,Suhain,32.23,,,,
404,Al Jarim,32.15,,,,
405,Khor fasht,32.38,,,,
406,Marwada,32.49,,,,
407,Al Jasra,34.07,,,,
408,Bartafi,33.10,,,,
409,Jazirat Ya’suf,33.28,,,,
410,Qassar,32.92,,,,
411,Umm Al na'asan,32.89,,,,
412,Al Gaha,29.07,,,,
413,Askar,28.78,,,,
414,Bapco,29.56,,,,
415,Fasht Tighalib,29.18,,,,
416,Ghumais,28.81,,,,
417,Jabbari,29.12,,,,
418,Mashtan,28.96,,,,
419,Msoor,28.68,,,,
420,Qassar Noon,29.27,,,,
421,Al Gazara,29.85,,,,
422,Dam,30.16,,,,
423,Fa'ash,29.59,,,,
424,Marina Club,29.13,,,,
425,Qita’at Jaradah,29.46,,,,
426,Suhain,29.97,,,,
427,Al Jarim,29.16,,,,
428,Bartafi,28.97,,,,
429,Khor fasht,29.14,,,,
430,Marwada,29.09,,,,
431,Al Jasra,29.28,,,,
432,Jazirat Ya’suf,29.49,,,,
433,Qassar,29.85,,,,
434,Umm Al na'asan,29.91,,,,
435,Al Gaha,18.38,,,,
436,Askar,17.00,,,,
437,Bapco,17.70,,,,
438,Fasht Tighalib,17.71,,,,
439,Ghumais,17.57,,,,
440,Jabbari,17.75,,,,
441,Mashtan,17.11,,,,
442,Msoor,17.30,,,,
443,Qassar Noon,16.90,,,,
444,Al Gazara,17.93,,,,
445,Dam,17.93,,,,
446,Fa'ash,17.99,,,,
447,Marina Club,17.33,,,,
448,Qita’at Jaradah,17.44,,,,
449,Suhain,18.07,,,,
450,Al Jasra,16.48,,,,
451,Bartafi,16.73,,,,
452,Jazirat Ya’suf,16.77,,,,
453,Qassar,16.82,,,,
454,Umm Al na'asan,17.05,,,,
455,Al Jarim,17.97,,,,
456,Khor fasht,17.38,,,,
457,Marwada,17.56,,,,
459,Al Gaha,25.65,,,,
460,Askar,24.19,,,,
461,Bapco,24.13,,,,
462,Fasht Tighalib,24.11,,,,
463,Ghumais,24.15,,,,
464,Jabbari,24.05,,,,
465,Mashtan,23.58,,,,
466,Msoor,24.22,,,,
467,Qassar Noon,23.41,,,,
468,Al Gazara,23.14,,,,
469,Dam,22.96,,,,
470,Fa'ash,23.48,,,,
471,Marina Club,24.02,,,,
472,Qita’at Jaradah,23.14,,,,
473,Suhain,24.17,,,,
474,Al Jarim,22.84,,,,
475,Bartafi,24.08,,,,
476,Khor fasht,24.17,,,,
477,Marwada,24.10,,,,
478,Al Jasra,24.78,,,,
479,Jazirat Ya’suf,23.59,,,,
480,Qassar,23.60,,,,
481,Umm Al na'asan,23.24,,,,
482,Al Gazara,31.27,,,,
483,Dam,31.47,,,,
484,Fa'ash,31.10,,,,
485,Marina Club,30.46,,,,
486,Qita’at Jaradah,30.89,,,,
487,Suhain,30.58,,,,
488,Al Gaha,30.52,,,,
489,Askar,29.35,,,,
490,Bapco,30.35,,,,
491,Fasht Tighalib,30.00,,,,
492,Ghumais,30.13,,,,
493,Jabbari,30.23,,,,
494,Mashtan,30.49,,,,
495,Msoor,30.34,,,,
496,Qassar Noon,30.02,,,,
497,Al Jarim,31.21,,,,
498,Khor fasht,31.13,,,,
499,Marwada,31.03,,,,
500,Al Jasra,31.63,,,,
501,Bartafi,30.92,,,,
502,Jazirat Ya’suf,30.99,,,,
503,Qassar,31.10,,,,
504,Umm Al na'asan,30.91,,,,
505,Al Gaha,32.26,,,,
506,Al Gazara,31.80,,,,
507,Fa'ash,31.68,,,,
508,Qita’at Jaradah,31.64,,,,
509,Suhain,31.82,,,,
510,Askar,31.75,,,,
511,Bapco,31.97,,,,
512,Fasht Tighalib,31.51,,,,
513,Ghumais,31.72,,,,
514,Jabbari,31.64,,,,
515,Mashtan,31.63,,,,
516,Msoor,31.68,,,,
517,Qassar Noon,31.51,,,,
518,Al Jarim,31.32,,,,
519,Khor fasht,30.85,,,,
520,Marina Club,32.01,,,,
521,Marwada,31.14,,,,
522,Al Jasra,31.25,,,,
523,Bartafi,31.24,,,,
524,Jazirat Ya’suf,31.26,,,,
525,Qassar,31.28,,,,
526,Umm Al na'asan,31.26,,,,
527,Al Gaha,17.45,,,,
528,Askar,16.59,,,,
529,Bapco,17.19,,,,
530,Fasht Tighalib,16.63,,,,
531,Ghumais,16.08,,,,
532,Jabbari,16.36,,,,
533,Mashtan,16.35,,,,
534,Msoor,17.15,,,,
535,Qassar Noon,16.10,,,,
536,Al Gazara,17.27,,,,
537,Dam,17.27,,,,
538,Fa'ash,17.18,,,,
539,Qita’at Jaradah,17.16,,,,
540,Suhain,16.84,,,,
541,Al Jarim,17.72,,,,
542,Khor fasht,16.87,,,,
543,Marina Club,17.20,,,,
544,Marwada,16.88,,,,
545,Al Jasra,17.64,,,,
546,Bartafi,16.95,,,,
547,Jazirat Ya’suf,17.57,,,,
548,Qassar,17.09,,,,
549,Umm Al na'asan,17.24,,,,
550,Askar,25.96,,,,
551,Bapco,25.35,,,,
554,Jabbari,24.96,,,,
558,Al Gaha,25.26,,,,
559,Al Gazara,24.18,,,,
560,Dam,25.41,,,,
561,Fa'ash,24.52,,,,
562,Qita’at Jaradah,25.52,,,,
563,Suhain,24.95,,,,
564,Marina Club,25.44,,,,
565,Al Jasra,26.23,,,,
566,Bartafi,25.39,,,,
567,Jazirat Ya’suf,25.30,,,,
568,Marwada,25.42,,,,
569,Qassar,25.56,,,,
570,Umm Al na'asan,24.72,,,,
571,Al Gaha,34.66,,,,
572,Askar,33.49,,,,
573,Bapco,33.92,,,,
574,Fasht Tighalib,34.26,,,,
575,Ghumais,34.21,,,,
576,Jabbari,34.19,,,,
577,Mashtan,33.93,,,,
578,Msoor,35.72,,,,
579,Qassar Noon,34.16,,,,
580,Al Gazara,34.09,,,,
581,Dam,33.88,,,,
582,Fa'ash,34.11,,,,
583,Marina Club,33.93,,,,
584,Qita’at Jaradah,33.62,,,,
585,Suhain,34.25,,,,
586,Al Jarim,33.33,,,,
587,Khor fasht,33.05,,,,
588,Marwada,33.55,,,,
589,Al Jasra,32.98,,,,
590,Bartafi,32.65,,,,
591,Jazirat Ya’suf,32.96,,,,
592,Qassar,33.15,,,,
593,Umm Al na'asan,32.97,,,,
594,Al Gaha,27.08,,,,
595,Askar,27.37,,,,
596,Bapco,27.52,,,,
597,Fasht Tighalib,27.00,,,,
598,Ghumais,26.78,,,,
599,Jabbari,26.79,,,,
600,Mashtan,27.03,,,,
601,Msoor,27.20,,,,
602,Qassar Noon,27.01,,,,
603,Al Gazara,26.74,,,,
604,Dam,26.60,,,,
605,Fa'ash,26.70,,,,
606,Marina Club,26.95,,,,
607,Qita’at Jaradah,26.66,,,,
608,Suhain,26.73,,,,
609,Al Jasra,24.91,,,,
610,Jazirat Ya’suf,25.50,,,,
611,Qassar,26.07,,,,
612,Umm Al na'asan,26.23,,,,
613,Al Jarim,25.74,,,,
614,Bartafi,25.90,,,,
615,Khor fasht,25.78,,,,
616,Marwada,25.69,,,,
617,Al Gaha,16.55,,,,
618,Askar,16.84,,,,
619,Bapco,16.75,,,,
620,Fasht Tighalib,16.34,,,,
621,Ghumais,16.35,,,,
622,Jabbari,16.19,,,,
623,Mashtan,16.13,,,,
624,Msoor,16.04,,,,
625,Qassar Noon,16.30,,,,
626,Al Gazara,16.91,,,,
627,Dam,16.82,,,,
628,Fa'ash,16.87,,,,
629,Marina Club,16.75,,,,
630,Qita’at Jaradah,16.66,,,,
631,Suhain,16.91,,,,
632,Al Jasra,16.69,,,,
633,Bartafi,16.23,,,,
634,Gassar,16.31,,,,
635,Jazirat Ya’suf,16.35,,,,
636,Umm Al na'asan,16.48,,,,
637,Al Jarim,16.48,,,,
638,Khor fasht,16.38,,,,
639,Marwada,16.33,,,,
640,Al Gazara,27.26,,,,
641,Dam,27.43,,,,
642,Fa'ash,27.62,,,,
643,Marina Club,27.88,,,,
644,Qita’at Jaradah,27.87,,,,
645,Suhain,27.80,,,,
646,Al Gaha,26.83,,,,
647,Askar,26.70,,,,
648,Bapco,28.12,,,,
649,Fasht Tighalib,27.73,,,,
650,Ghumais,27.64,,,,
651,Jabbari,27.75,,,,
652,Mashtan,27.46,,,,
653,Msoor,26.57,,,,
654,Qassar Noon,26.68,,,,
655,Abu Lthama,25.75,,,,
656,Bo Omamah,25.81,,,,
657,Najwat Abu Lthama,25.90,,,,
658,Shtaya,26.72,,,,
659,Sura,27.66,,,,
660,Al Jarim,27.26,,,,
661,Al Jasra,28.05,,,,
662,Bartafi,27.60,,,,
663,Gassar,27.09,,,,
664,Jazirat Ya’suf,27.31,,,,
665,Khor fasht,27.60,,,,
666,Marwada,27.70,,,,
667,Umm Al na'asan,26.49,,,,
668,Qita’at Jaradah,29.20,,,,
669,Al Gazara,34.14,,,,
670,Dam,34.15,,,,
671,Fa'ash,34.16,,,,
672,Qita’at Jaradah,34.18,,,,
673,Suhain,35.02,,,,
674,Al Gaha,33.64,,,,
675,Askar,34.04,,,,
676,Bapco,34.48,,,,
677,Fasht Tighalib,34.20,,,,
678,Ghumais,34.02,,,,
679,Jabbari,34.24,,,,
680,Mashtan,34.04,,,,
681,Msoor,34.02,,,,
682,Qassar Noon,34.21,,,,
683,Abu Lthama,33.42,,,,
684,Al Jarim,34.31,,,,
685,Bo Omamah,33.30,,,,
686,Najwat Abu Lthama,33.26,,,,
687,Shtaya,33.71,,,,
688,Al Jasra,33.94,,,,
689,Bartafi,34.46,,,,
690,Gassar,34.24,,,,
691,Jazirat Ya’suf,34.36,,,,
692,Marina Club,34.41,,,,
693,Umm Al na'asan,33.92,,,,
694,Khor fasht,34.07,,,,
695,Marwada,34.09,,,,
696,Sura,34.04,,,,
697,Al Gaha,30.06,,,,
698,Al Gazara,30.73,,,,
699,Askar,29.87,,,,
700,Bapco,30.29,,,,
701,Dam,30.57,,,,
702,Fa'ash,30.53,,,,
703,Marina Club,30.18,,,,
704,Suhain,29.46,,,,
705,Fasht Tighalib,29.79,,,,
706,Ghumais,30.09,,,,
707,Jabbari,29.87,,,,
708,Mashtan,29.35,,,,
709,Msoor,29.47,,,,
710,Qassar Noon,29.69,,,,
711,Al Jasra,28.74,,,,
712,Bartafi,29.68,,,,
713,Gassar,30.00,,,,
714,Jazirat Ya’suf,29.43,,,,
715,Marwada,29.76,,,,
716,Umm Al na'asan,30.18,,,,
717,Khor fasht,29.69,,,,
718,Abu Lthama,29.64,,,,
719,Al Jarim,28.31,,,,
720,Bo Omamah,29.54,,,,
721,Najwat Abu Lthama,29.80,,,,
722,Shtaya,28.93,,,,
723,Sura,27.64,,,,
724,Abu Lthama,20.72,,,,
725,Al Jarim,17.13,,,,
726,Bo Omamah,20.54,,,,
727,Najwat Abu Lthama,20.99,,,,
728,Shtaya,19.44,,,,
729,Sura,17.22,,,,
730,Al Gaha,17.26,,,,
731,Askar,18.11,,,,
732,Bapco,18.25,,,,
733,Fasht Tighalib,17.03,,,,
734,Ghumais,17.41,,,,
735,Jabbari,17.05,,,,
736,Mashtan,17.19,,,,
737,Msoor,17.88,,,,
738,Qassar Noon,16.95,,,,
739,Al Jasra,17.56,,,,
740,Bartafi,17.13,,,,
741,Gassar,16.95,,,,
742,Jazirat Ya’suf,17.09,,,,
743,Khor fasht,16.76,,,,
744,Marwada,16.93,,,,
745,Umm Al na'asan,16.87,,,,
746,Al Gazara,18.01,,,,
747,Dam,18.15,,,,
748,Fa'ash,17.97,,,,
749,Qita’at Jaradah,18.59,,,,
750,Suhain,18.22,,,,
751,Al Gazara,23.86,,,,
752,Amwaj,24.49,,,,
753,Dam,23.60,,,,
754,Fa'ash,23.86,,,,
755,Qita’at Jaradah,24.66,,,,
756,Suhain,24.65,,,,
757,Al Gaha,22.33,,,,
758,Askar,21.63,,,,
759,Bapco,22.41,,,,
760,Fasht Tighalib,22.90,,,,
761,Ghumais,22.68,,,,
762,Jabbari,22.98,,,,
763,Mashtan,22.72,,,,
764,Msoor,22.05,,,,
765,Qassar Noon,22.45,,,,
766,Abu Lthama,21.72,,,,
767,Al Jarim,22.25,,,,
768,Bo Omamah,21.84,,,,
769,Najwat Abu Lthama,22.00,,,,
770,Shtaya,22.07,,,,
771,Sura,22.67,,,,
772,Al Jasra,23.51,,,,
773,Bartafi,23.42,,,,
774,Gassar,23.00,,,,
775,Jazirat Ya’suf,23.40,,,,
776,Khor fasht,23.51,,,,
777,Marwada,23.53,,,,
778,Umm Al na'asan,23.05,,,,
779,Al Gaha,34.81,,,,
780,Askar,34.71,,,,
781,Bapco,34.93,,,,
782,Fasht Tighalib,34.60,,,,
783,Ghumais,34.82,,,,
784,Jabbari,34.59,,,,
785,Mashtan,34.79,,,,
786,Msoor,34.62,,,,
787,Qassar Noon,34.53,,,,
788,Al Gazara,34.61,,,,
789,Amwaj,34.82,,,,
790,Dam,34.63,,,,
791,Fa'ash,34.72,,,,
792,Qita’at Jaradah,34.70,,,,
793,Suhain,34.15,,,,
794,Abu Lthama,34.18,,,,
795,Bo Omamah,34.42,,,,
796,Najwat Abu Lthama,34.43,,,,
797,Shtaya,34.90,,,,
798,Al Jarim,34.75,,,,
799,Khor fasht,34.63,,,,
800,Marwada,34.51,,,,
801,Sura,35.07,,,,
802,Al Jasra,34.35,,,,
803,Bartafi,34.57,,,,
804,Gassar,34.47,,,,
805,Jazirat Ya’suf,34.45,,,,
806,Umm Al na'asan,34.26,,,,
807,Al Gaha,29.53,,,,
808,Askar,28.76,,,,
809,Bapco,28.92,,,,
810,Fasht Tighalib,28.80,,,,
811,Ghumais,28.99,,,,
812,Jabbari,28.91,,,,
813,Mashtan,28.47,,,,
814,Msoor,28.59,,,,
815,Qassar Noon,28.91,,,,
816,Al Gazara,28.91,,,,
817,Amwaj,28.03,,,,
818,Dam,28.78,,,,
819,Fa'ash,28.88,,,,
820,Qita’at Jaradah,27.20,,,,
821,Suhain,28.82,,,,
822,Al Jarim,23.60,,,,
823,Al Jasra,23.60,,,,
824,Bartafi,23.30,,,,
825,Gassar,23.90,,,,
826,Jazirat Ya’suf,23.90,,,,
827,Khor fasht,23.10,,,,
828,Marwada,23.20,,,,
829,Umm Al na'asan,24.00,,,,
830,Abu Lthama,25.80,,,,
831,Bo Omamah,26.00,,,,
832,Najwat Abu Lthama,25.90,,,,
833,Shtaya,24.70,,,,
834,Sura,22.80,,,,
835,Al Gaha,18.70,,,,
836,Askar,18.10,,,,
837,Bapco,18.70,,,,
838,Fasht Tighalib,17.80,,,,
839,Jabbari,17.70,,,,
840,Mashtan,17.90,,,,
841,Msoor,18.60,,,,
